iter	RMSE
549	0.06476055049
550	0.06469705977
551	0.06460741337
552	0.06454294283
553	0.06446002022
554	0.06443977223
555	0.06442892783
556	0.06439373948
557	0.06438225189
558	0.06437232957
559	0.06428681751
560	0.06427438999
561	0.06421887175
562	0.06412849552
563	0.06411022984
564	0.06404590672
565	0.06399523838
566	0.06397102272
567	0.06396141615
568	0.0639026421
569	0.06389490097
570	0.06384417561
571	0.06375084616
572	0.06372742955
573	0.0636601285
574	0.06358607802
575	0.06352889283
576	0.06344723514
577	0.06334775318
578	0.06328305448
579	0.06319991079
580	0.06312094766
581	0.06305547031
582	0.06304801324
583	0.06303890047
584	0.06297527702
585	0.06288478399
586	0.06281224956
587	0.06279747872
588	0.06275271582
589	0.0626638948
590	0.06265659461
591	0.06263485066
592	0.06258803003
593	0.06255166506
594	0.06254553977
595	0.06248314566
596	0.06245478173
597	0.06236721462
598	0.06234610836
599	0.0622712463
600	0.06220375222
601	0.06217104268
602	0.06212254953
603	0.06208122279
604	0.06207320828
605	0.06199930427
606	0.06195891175
607	0.06193837316
608	0.06185608615
609	0.06184800173
610	0.06178582301
611	0.06177784727
612	0.0617008603
613	0.0616792532
614	0.06157515509
615	0.06150001942
616	0.0614649947
617	0.06140906468
618	0.06135878616
619	0.06126828574
620	0.06122489508
621	0.06116313358
622	0.06109463989
623	0.06107526341
624	0.06103231797
625	0.06097871107
626	0.06088208069
627	0.06083023709
628	0.06076653095
629	0.06074777967
630	0.06068250792
631	0.06067306712
632	0.06064176892
633	0.06058480844
634	0.06051044455
635	0.06045585601
636	0.06036457908
637	0.06028307881
638	0.06020815644
639	0.06020016246
640	0.06018172797
641	0.0601094323
642	0.06005357222
643	0.05996749591
644	0.05995897636
645	0.05990672624
646	0.05984957962
647	0.05979599968
648	0.05974618142
649	0.0596455384
650	0.05961689454
651	0.05952573882
652	0.05948951884
653	0.05947440433
654	0.05942479152
655	0.05940712348
656	0.05931664836
657	0.05923889726
658	0.05915348359
659	0.05912632201
660	0.05904921722
661	0.05903275914
662	0.05900118384
663	0.05894021415
664	0.05887715581
665	0.05887037443
666	0.05882811109
667	0.0587949684
668	0.05878822414
669	0.05877349432
670	0.05872332797
671	0.05870696963
